service_code,journey_pattern_id,destination_display,source_file
PK0003436:5,JP1,Westway Common (opp) Caterham,404-21-404-_-y05-2_1.xml
PK0003436:5,JP2,Westway Common (opp) Caterham,404-21-404-_-y05-2_1.xml
PK0003436:5,JP3,Westway Common (opp) Caterham,404-21-404-_-y05-2_1.xml
PK0003436:5,JP4,Westway Common (opp) Caterham,404-21-404-_-y05-2_1.xml
PK0003436:5,JP5,Crawford Crescent (->S) Coulsdon,404-21-404-_-y05-2_1.xml
PK0003436:5,JP6,Crawford Crescent (->S) Coulsdon,404-21-404-_-y05-2_1.xml
PK0003436:5,JP7,Crawford Crescent (->S) Coulsdon,404-21-404-_-y05-2_1.xml
PK0003436:5,JP8,Crawford Crescent (->S) Coulsdon,404-21-404-_-y05-2_1.xml
PK0003436:5,JP9,Crawford Crescent (->S) Coulsdon,404-21-404-_-y05-2_1.xml
PK0003436:5,JP10,Crawford Crescent (->S) Coulsdon,404-21-404-_-y05-2_1.xml
PK0003436:5,JP11,Westway Common (opp) Caterham,404-21-404-_-y05-2_1.xml
PK0003436:5,JP12,Westway Common (opp) Caterham,404-21-404-_-y05-2_1.xml
PK0003436:5,JP13,Westway Common (opp) Caterham,404-21-404-_-y05-2_1.xml
PK0003436:5,JP14,Westway Common (opp) Caterham,404-21-404-_-y05-2_1.xml
PK0003436:5,JP15,Crawford Crescent (->S) Coulsdon,404-21-404-_-y05-2_1.xml
PK0003436:5,JP16,Crawford Crescent (->S) Coulsdon,404-21-404-_-y05-2_1.xml
PK0003436:5,JP17,Westway Common (opp) Caterham,404-21-404-_-y05-2_1.xml
PK0003436:5,JP18,Crawford Crescent (->S) Coulsdon,404-21-404-_-y05-2_1.xml
PK0003436:5,JP19,Crawford Crescent (->S) Coulsdon,404-21-404-_-y05-2_1.xml
UZ000ABLO:404,JP_21-404-_-y05-6-5-I-1,Coulsdon,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,JP_21-404-_-y05-6-6-I-1,Coulsdon,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,JP_21-404-_-y05-6-7-I-1,Coulsdon,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,JP_21-404-_-y05-6-8-I-1,Coulsdon,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,JP_21-404-_-y05-6-9-I-1,Coulsdon,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,JP_21-404-_-y05-6-10-I-1,Coulsdon,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,JP_21-404-_-y05-6-6-O-2,Caterham,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,JP_21-404-_-y05-6-7-O-2,Caterham,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,JP_21-404-_-y05-6-8-O-2,Caterham,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,JP_21-404-_-y05-6-9-O-2,Caterham,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,JP_21-404-_-y05-6-1-I-1,Coulsdon,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,JP_21-404-_-y05-6-4-I-1,Coulsdon,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,JP_21-404-_-y05-6-1-O-2,Caterham,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,JP_21-404-_-y05-6-2-O-2,Caterham,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,JP_21-404-_-y05-6-4-O-2,Caterham,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,JP_21-404-_-y05-6-5-O-2,Caterham,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,JP_21-404-_-y05-6-2-I-1,Coulsdon,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,JP_21-404-_-y05-6-3-I-1,Coulsdon,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,JP_21-404-_-y05-6-3-O-2,Caterham,tfl_21-404-_-y05-6_qyPH39c.xml
UZ000ABLO:404,JP_21-404-_-y05-7-1-I-1,Coulsdon,tfl_21-404-_-y05-7.xml
UZ000ABLO:404,JP_21-404-_-y05-7-4-I-1,Coulsdon,tfl_21-404-_-y05-7.xml
UZ000ABLO:404,JP_21-404-_-y05-7-5-I-1,Coulsdon,tfl_21-404-_-y05-7.xml
UZ000ABLO:404,JP_21-404-_-y05-7-1-O-2,Caterham,tfl_21-404-_-y05-7.xml
UZ000ABLO:404,JP_21-404-_-y05-7-2-O-2,Caterham,tfl_21-404-_-y05-7.xml
UZ000ABLO:404,JP_21-404-_-y05-7-4-O-2,Caterham,tfl_21-404-_-y05-7.xml
UZ000ABLO:404,JP_21-404-_-y05-7-5-O-2,Caterham,tfl_21-404-_-y05-7.xml
UZ000ABLO:404,JP_21-404-_-y05-7-6-O-2,Caterham,tfl_21-404-_-y05-7.xml
UZ000ABLO:404,JP_21-404-_-y05-7-2-I-1,Coulsdon,tfl_21-404-_-y05-7.xml
UZ000ABLO:404,JP_21-404-_-y05-7-3-I-1,Coulsdon,tfl_21-404-_-y05-7.xml
